Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"ARCH","8610","1","ARCH 8610: 001","57%","35%","4%","0%","0%","0%","0%","4%","Ersoy, Ufuk",""
"ARCH","8710","1","ARCH 8710: 001","54%","42%","0%","0%","0%","0%","0%","4%","Albright, Dustin Gra",""
"ARCH","8730","1","ARCH 8730: 001","69%","31%","0%","0%","0%","0%","0%","0%","Blouin, Vincent Yves",""
"ARCH","8820","1","ARCH 8820: 001","68%","32%","0%","0%","0%","0%","0%","0%","Silance, Robert T",""
"ARCH","8900","1","Directed Studies","40%","60%","0%","0%","0%","0%","0%","0%","Battisto, Dina G.",""
"ARCH","8920","1","ARCH 8920: 001","57%","29%","14%","0%","0%","0%","0%","0%","Allison, David J",""
"ARCH","8920","2","ARCH 8920: 002","24%","70%","6%","0%","0%","0%","0%","0%","Heine, Ulrike Ann-So",""
"ARCH","8960","1","A+H Studio: Tectonic","25%","75%","0%","0%","0%","0%","0%","0%","Allison, David J",""
"ART","1030","1","ART 1030: 001","33%","60%","7%","0%","0%","0%","0%","0%","House, Lynette",""
"ART","1060","1","ART 1060: 001","68%","18%","5%","0%","9%","0%","0%","0%","Drew, Carly D",""
"ART","1510","1","ART 1510: 001","80%","20%","0%","0%","0%","0%","0%","0%","Lichliter, Adrienne",""
"ART","2050","1","ART 2050: 001","65%","25%","10%","0%","0%","0%","0%","0%","Murray, Joel Reese",""
"ART","2070","1","ART 2070: 001","77%","15%","0%","0%","0%","0%","0%","8%","McDonald, Todd A",""
"ART","2170","1","ART 2170: 001","80%","10%","10%","0%","0%","0%","0%","0%","Kawar, Nina Jeanette",""
"AS","1100","1","AS 1100: 001","81%","19%","0%","0%","0%","0%","0%","0%","Wiggins, Stacey Dean",""
"AS","4100","1","Nat Sec Policy II","83%","8%","0%","0%","0%","0%","0%","8%","Jordan, Steven Price",""
"ASL","1010","1","ASL 1010: 001","75%","8%","17%","0%","0%","0%","0%","0%","May, Joseph Paul",""
"ASL","1010","2","ASL 1010: 002","70%","30%","0%","0%","0%","0%","0%","0%","May, Joseph Paul",""
"ASL","1020","1","ASL 1020: 001","79%","21%","0%","0%","0%","0%","0%","0%","Misener Dunn, Kim Ma",""
"ASL","1020","2","ASL 1020: 002","87%","13%","0%","0%","0%","0%","0%","0%","Misener Dunn, Kim Ma",""
"ASL","2010","1","ASL 2010: 001","13%","60%","7%","7%","13%","0%","0%","0%","Brant, William Alton",""
"ASL","2010","2","ASL 2010: 002","53%","12%","35%","0%","0%","0%","0%","0%","Brant, William Alton",""
"ASL","2020","1","ASL 2020: 001","69%","13%","13%","0%","6%","0%","0%","0%","Misener Dunn, Kim Ma",""
"ASL","2020","2","ASL 2020: 002","84%","16%","0%","0%","0%","0%","0%","0%","Misener Dunn, Kim Ma",""
"ASL","3050","1","Deaf Studies","47%","37%","16%","0%","0%","0%","0%","0%","Brant, William Alton",""
"ASL","4010","1","ASL 4010: 001","36%","55%","0%","0%","0%","0%","0%","9%","Fitzmaurice, Stephen",""
"ASTR","1010","1","Solar System Astr","30%","26%","16%","7%","5%","0%","0%","16%","Drozdov, Dina",""
"ASTR","1020","1","Stellar Astronomy ONLINE","31%","53%","13%","0%","0%","0%","0%","4%","Flower, Phillip J",""
"ASTR","1020","2","Stellar Astronomy ONLINE","27%","35%","27%","0%","3%","0%","0%","6%","Flower, Phillip J",""
"ASTR","1020","3","Stellar Astronomy ONLINE","38%","42%","11%","0%","2%","0%","0%","7%","Flower, Phillip J",""
"ASTR","1030","1","Solar Systm Astr Lab","46%","19%","19%","4%","12%","0%","0%","0%","Leising, Mark D",""
"ASTR","1040","1","Stellar Astr Lab","58%","29%","8%","0%","0%","0%","0%","4%","Leising, Mark D",""
"ASTR","1040","3","Stellar Astr Lab","39%","39%","0%","0%","0%","0%","0%","22%","Leising, Mark D",""
"ASTR","1040","5","Stellar Astr Lab","73%","18%","5%","0%","0%","0%","0%","5%","Leising, Mark D",""
"ASTR","1040","6","Stellar Astr Lab","40%","27%","0%","0%","13%","0%","0%","20%","Leising, Mark D",""
"AUD","2850","1","AUD 2850: 001","25%","42%","33%","0%","0%","0%","0%","0%","Altstatt, Hamilton S",""
"AUE","8160","1","AUE 8160: 001","71%","29%","0%","0%","0%","0%","0%","0%","Prucka, Robert G",""
"AUE","8160","2","AUE 8160: 002","69%","31%","0%","0%","0%","0%","0%","0%","Filipi, Zoran",""
"AUE","8170","3","AUE 8170: 003","70%","30%","0%","0%","0%","0%","0%","0%","Pisu, Pierluigi",""
"AUE","8290","4","AUE 8290: 004","57%","43%","0%","0%","0%","0%","0%","0%","Rhyne, Timothy B.",""
"AUE","8500","6","AUE 8500: 006","43%","46%","4%","0%","0%","0%","0%","7%","Ayalew, Beshah",""
"AUE","8550","16","AUE 8550: 016","20%","67%","13%","0%","0%","0%","0%","0%","Mears, Michael L",""
"AUE","8660","7","Adv Matl Auto Appl","50%","50%","0%","0%","0%","0%","0%","0%","Pilla, Srikanth",""
"AUE","8690","8","AUE 8690: 008","58%","42%","0%","0%","0%","0%","0%","0%","Mears, Michael L",""
"AUE","8770","9","AUE 8770: 009","57%","32%","7%","0%","4%","0%","0%","0%","Abu-Farha, Fadi Kama",""
"AUE","8820","10","AUE 8820: 010","46%","54%","0%","0%","0%","0%","0%","0%","Venhovens, Paul",""
"AUE","8860","11","AUE 8860: 011","65%","35%","0%","0%","0%","0%","0%","0%","Haque, Imtiaz Ul",""
"AUE","8900","400","AUE 8900: 400","88%","13%","0%","0%","0%","0%","0%","0%","Venhovens, Paul",""
"AUE","8930","15","Autovation I","70%","30%","0%","0%","0%","0%","0%","0%","Bodde, David Leo",""
"AVS","2000","1","AVS 2000: 001","83%","14%","2%","0%","0%","0%","0%","0%","Bolt, Brian G",""
"AVS","2050","1","AVS 2050: 001","83%","17%","0%","0%","0%","0%","0%","0%","Baxley, Anna Rebecca",""
"AVS","2060","1","AVS 2060: 001","64%","30%","6%","0%","0%","0%","0%","0%","Miller, Richelle Lor",""
"AVS","2090","1","AVS 2090: 001","94%","1%","0%","0%","1%","0%","0%","3%","Bolt, Brian G",""
"AVS","2110","1","AVS 2110: 001","67%","27%","7%","0%","0%","0%","0%","0%","Hall, Michelle A",""
"AVS","3150","1","Animal Welfare","22%","43%","17%","13%","0%","0%","0%","4%","Skewes, Peter A",""
"AVS","3750","1","Appl Animal Nutr","10%","37%","29%","15%","1%","0%","0%","9%","Long, Nathan M",""
"AVS","4060","1","AVS 4060: 001","88%","9%","0%","0%","0%","0%","0%","3%","Birrenkott, Glenn P",""
"AVS","4100","1","AVS 4100: 001","15%","41%","32%","9%","2%","0%","0%","1%","Skewes, Peter A",""
"AVS","4120","1","Adv Equine Mgmt","80%","20%","0%","0%","0%","0%","0%","0%","Vernon, Kristine Lan",""
"AVS","4130","1","AVS 4130: 001","35%","45%","13%","1%","0%","0%","0%","5%","Hall, Michelle A",""
"AVS","4170","1","AVS 4170: 001","38%","50%","0%","4%","4%","0%","0%","4%","Vernon, Kristine Lan",""
"AVS","4530","1","Animal Reproduction","31%","52%","11%","3%","1%","0%","0%","1%","Birrenkott, Glenn P",""
"AVS","4530","400","Animal Reproduction","50%","30%","20%","0%","0%","0%","0%","0%","Birrenkott, Glenn P",""
"AVS","6110","1","AVS 6110: 001","71%","29%","0%","0%","0%","0%","0%","0%","Duckett, Susan Kay",""
"AVS","8090","1","AVS 8090: 001","63%","13%","0%","0%","0%","0%","0%","25%","Duckett, Susan Kay",""
"BCHM","3010","1","Molecular Biochem","8%","33%","26%","25%","3%","0%","0%","5%","Morris, Meredith Tei",""
"BCHM","3010","2","Molecular Biochem(HON)","56%","24%","12%","0%","0%","0%","0%","8%","Morris, Meredith Tei","H"
"BCHM","3020","1","BCHM 3020: 001","55%","27%","9%","0%","0%","0%","0%","9%","Morris, Meredith Tei",""
"BCHM","3020","2","BCHM 3020: 002","56%","25%","0%","6%","0%","0%","0%","13%","Morris, Meredith Tei",""
"BCHM","3020","3","BCHM 3020: 003","64%","18%","0%","0%","0%","0%","0%","18%","Morris, Meredith Tei",""
"BCHM","3050","1","BCHM 3050: 001","24%","22%","27%","18%","4%","0%","0%","4%","Morris, James C",""
"BCHM","4060","1","BCHM 4060: 001","46%","27%","19%","3%","3%","0%","0%","3%","Bodine, Ashby Burges",""
"BCHM","4320","1","Bioch of Metabolism","79%","15%","3%","0%","0%","0%","0%","3%","Paul, Kimberly S",""
"BCHM","4360","1","Genes to Proteins","45%","45%","9%","0%","0%","0%","0%","0%","Sehorn, Michael Glen",""
"BE","2100","1","BE 2100: 001","80%","15%","0%","0%","0%","0%","0%","5%","Zheng, Yi",""
"BE","3220","1","BE 3220: 001","29%","29%","32%","4%","0%","0%","0%","7%","Owino, Tom O.",""
"BE","4120","1","BE 4120: 001","30%","40%","25%","0%","0%","0%","0%","5%","Drapcho, Caye Marie",""
"BE","4210","1","BE 4210: 001","55%","45%","0%","0%","0%","0%","0%","0%","Owino, Tom O.",""
"BE","4240","1","BE 4240: 001","77%","23%","0%","0%","0%","0%","0%","0%","Darnault, Christophe",""
"BE","4380","1","BE 4380: 001","63%","38%","0%","0%","0%","0%","0%","0%","Walker, Terry H",""
"BIOE","1010","1","BIOE 1010: 001","85%","9%","5%","0%","0%","0%","0%","0%","Simionescu, Agneta",""
"BIOE","2010","1","BIOE 2010: 001","28%","40%","16%","4%","4%","0%","0%","8%","Webb, Charles K",""
"BIOE","3020","1","BIOE 3020: 001","48%","42%","6%","2%","2%","0%","0%","0%","Vertegel, Alexey Ale",""
"BIOE","3200","1","BIOE 3200: 001","64%","33%","3%","0%","0%","0%","0%","0%","Nagatomi, Jiro",""
"BIOE","3210","1","BIOE 3210: 001","42%","42%","6%","3%","0%","0%","0%","6%","Harcum, Sarah W",""
"BIOE","3700","1","BIOE 3700: 001","62%","31%","2%","0%","2%","0%","0%","3%","Dean, Delphine",""
"BIOE","4030","1","BIOE 4030: 001","97%","2%","0%","0%","0%","0%","0%","1%","Desjardins, John D",""
"BIOE","4230","1","BIOE 4230: 001","90%","0%","0%","0%","0%","0%","0%","10%","Simionescu, Dan T",""
"BIOE","4310","1","BIOE 4310: 001","38%","46%","8%","8%","0%","0%","0%","0%","Kwartowitz, David M",""
"BIOE","8020","410","BIOE 8020: 410","40%","60%","0%","0%","0%","0%","0%","0%","Vyavahare, Narendra",""
"BIOE","8150","410","BIOE 8150: 410","63%","38%","0%","0%","0%","0%","0%","0%","Harman, Melinda K",""
"BIOE","8470","1","BIOE 8470: 001","42%","42%","0%","0%","0%","0%","0%","17%","Latour, Robert A",""
"BIOE","8490","1","BIOE 8490: 001","86%","0%","0%","0%","0%","0%","0%","14%","Mei, Ying",""
"BIOE","8500","3","Drug Delivery","70%","20%","0%","0%","0%","0%","0%","10%","Lee, JeoungSoo",""
"BIOL","1040","1","General Biology II","30%","33%","24%","6%","2%","0%","0%","5%","Espinoza, Nora R",""
"BIOL","1040","2","General Biology II","18%","38%","24%","12%","6%","0%","0%","1%","Ickes, Kalan L",""
"BIOL","1040","3","General Biology II","18%","22%","30%","16%","8%","0%","0%","8%","Sparace, Salvatore A",""
"BIOL","1040","4","General Biology II (HON)","56%","38%","6%","0%","0%","0%","0%","0%","Espinoza, Nora R","H"
"BIOL","1060","1","Gen Biology Lab II","26%","26%","37%","5%","5%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","2","Gen Biology Lab II","9%","45%","14%","27%","5%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","3","Gen Biology Lab II","16%","47%","16%","16%","5%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","4","Gen Biology Lab II","13%","35%","39%","4%","4%","0%","0%","4%","Kaisa, Tafadzwa R",""
"BIOL","1060","5","Gen Biology Lab II","22%","35%","9%","4%","26%","0%","0%","4%","Kaisa, Tafadzwa R",""
"BIOL","1060","6","Gen Biology Lab II","13%","43%","30%","9%","4%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","7","Gen Biology Lab II","14%","57%","10%","10%","0%","0%","0%","10%","Kaisa, Tafadzwa R",""
"BIOL","1060","8","Gen Biology Lab II","0%","31%","46%","15%","0%","0%","0%","8%","Kaisa, Tafadzwa R",""
"BIOL","1060","10","Gen Biology Lab II","15%","30%","40%","15%","0%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","11","Gen Biology Lab II","13%","50%","31%","0%","0%","0%","0%","6%","Kaisa, Tafadzwa R",""
"BIOL","1060","12","Gen Biology Lab II","71%","21%","0%","7%","0%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","13","Gen Biology Lab II","9%","39%","30%","4%","13%","0%","0%","4%","Kaisa, Tafadzwa R",""
"BIOL","1060","14","Gen Biology Lab II","17%","26%","35%","9%","13%","0%","0%","0%","Kaisa, Tafadzwa R",""
"BIOL","1060","15","Gen Biology Lab II","18%","36%","27%","5%","9%","0%","0%","5%","Kaisa, Tafadzwa R",""
