Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,4010,1,Arch Portfolio,50%,14%,18%,0%,5%,0%,0%,14%,"Soleimani, Arash",
ARCH,4520,1,Synthesis Studio,42%,50%,8%,0%,0%,0%,0%,0%,"Bruhns, Robert A.",
ARCH,4520,2,Synthesis Studio,55%,45%,0%,0%,0%,0%,0%,0%,"Wilkerson, Julie Poe",
ARCH,4520,3,Synthesis Studio,36%,45%,18%,0%,0%,0%,0%,0%,"Mills, Criss B.",
ARCH,6880,1,Arch Programming,78%,22%,0%,0%,0%,0%,0%,0%,"Edwards, Byron Malet",
ARCH,6990,2,Glass as a Modern Material,67%,33%,0%,0%,0%,0%,0%,0%,"Ersoy, Ufuk",
ARCH,8110,1,Visualization II,38%,50%,0%,0%,6%,0%,0%,6%,"Hecker, Douglas A.",
ARCH,8200,1,Bldg Design & Constr,59%,29%,6%,0%,0%,0%,0%,6%,"Bausman, Dennis C",
ARCH,8420,1,Arch Studio II,43%,57%,0%,0%,0%,0%,0%,0%,"Laurence, Peter L",
ARCH,8420,2,Arch Studio II,22%,44%,11%,0%,11%,0%,0%,11%,"Satoh, Junichi",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 5 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,8610,1,History/Theory II,40%,47%,0%,0%,7%,0%,0%,7%,"Bruhns, Robert A.",
ARCH,8710,1,Structures II,45%,41%,9%,0%,0%,0%,0%,5%,"Albright, Dustin Gra",
ARCH,8730,1,Environmental Sys,70%,27%,0%,0%,0%,0%,0%,3%,"Blouin, Vincent Yves",
ARCH,8740,1,Building Process:TR,75%,25%,0%,0%,0%,0%,0%,0%,"Jacques, John D",
ARCH,8740,2,Building Process:TR,62%,38%,0%,0%,0%,0%,0%,0%,"Jacques, John D",
ARCH,8820,1,Building Economics,89%,9%,2%,0%,0%,0%,0%,0%,"Silance, Robert T",
ARCH,8900,1,Directed Studies,71%,14%,14%,0%,0%,0%,0%,0%,"Joseph, Anjali",
ARCH,8920,2,Comprehensive Studio,20%,80%,0%,0%,0%,0%,0%,0%,"Heine, Ulrike Ann-So",
ARCH,8920,3,Comprehensive Studio,50%,50%,0%,0%,0%,0%,0%,0%,"Albright, Dustin Gra",
ARCH,8920,4,Comprehensive Studio,20%,80%,0%,0%,0%,0%,0%,0%,"Franco Santa Cruz, D",
ARCH,8920,5,Comprehensive Studio,0%,70%,30%,0%,0%,0%,0%,0%,"Green, Keith E.",
ARCH,8960,1,A+H Studio: Tectonic,71%,29%,0%,0%,0%,0%,0%,0%,"Edwards, Byron Malet",
ART,1060,1,Foundation Drawing II,52%,24%,14%,0%,5%,0%,0%,5%,"Thum, Kathleen Ann",
ART,1520,1,Foundations Art II,88%,6%,6%,0%,0%,0%,0%,0%,"Manson V, Joseph Ric",
ART,2050,1,Beginning Life Drawing,44%,39%,17%,0%,0%,0%,0%,0%,"Giannell, Alexandra",
ART,2070,1,Beginning Painting,53%,40%,0%,0%,0%,0%,0%,7%,"Siber, Hilary Erin",
ART,2090,1,Beginning Sculpture,31%,62%,0%,0%,0%,0%,0%,8%,"Burchinal, Tanna L",
ART,2130,1,Begin Photography,69%,31%,0%,0%,0%,0%,0%,0%,"Wrangle, Anderson",
ART,2170,1,Beginning Ceramics,75%,25%,0%,0%,0%,0%,0%,0%,"Elsey, Lindsey Ann",
AS,1100,2,Air Force Today II,88%,12%,0%,0%,0%,0%,0%,0%,"Jordan, Steven Price",
AS,2100,3,Dev of Air Power II,86%,7%,7%,0%,0%,0%,0%,0%,"Mann, Christopher R",
ASL,1010,2,Am Sign Lang I,60%,30%,0%,0%,0%,0%,0%,10%,"Brant, William Alton",
ASL,1020,2,Am Sign Lang I,71%,7%,21%,0%,0%,0%,0%,0%,"Misener Dunn, Kim Ma",
ASL,2020,1,Am Sign Lang II,47%,47%,5%,0%,0%,0%,0%,0%,"Brant, William Alton",
ASTR,1010,1,Solar System Astr,47%,22%,15%,7%,3%,0%,0%,5%,"Brittain, Sean D",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 6 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ASTR,1020,1,Stellar Astronomy,22%,49%,18%,2%,2%,0%,0%,6%,"Flower, Phillip J",
ASTR,1020,2,Stellar Astronomy,17%,52%,20%,1%,1%,0%,0%,9%,"Flower, Phillip J",
ASTR,1020,3,Stellar Astronomy,18%,38%,34%,4%,4%,0%,0%,1%,"Flower, Phillip J",
ASTR,1030,1,Solar Systm Astr Lab,58%,19%,4%,0%,8%,0%,0%,12%,"Leising, Mark D",
ASTR,1030,2,Solar Systm Astr Lab,50%,15%,5%,5%,15%,0%,0%,10%,"Leising, Mark D",
ASTR,1040,1,Stellar Astr Lab,44%,32%,20%,0%,4%,0%,0%,0%,"Leising, Mark D",
ASTR,1040,2,Stellar Astr Lab,35%,45%,15%,0%,5%,0%,0%,0%,"Leising, Mark D",
ASTR,1040,3,Stellar Astr Lab,64%,28%,0%,0%,0%,0%,0%,8%,"Leising, Mark D",
ASTR,1040,5,Stellar Astr Lab,33%,33%,17%,0%,11%,0%,0%,6%,"Leising, Mark D",
ASTR,1040,6,Stellar Astr Lab,14%,52%,24%,0%,10%,0%,0%,0%,"Leising, Mark D",
AUD,2850,1,Acoustics of Music,20%,47%,27%,0%,0%,0%,0%,7%,"Altstatt, Hamilton S",
AUE,8160,1,Eng Combustion Emiss,83%,17%,0%,0%,0%,0%,0%,0%,"Prucka, Robert G",
AUE,8170,3,Alt Energy Sources,37%,59%,5%,0%,0%,0%,0%,0%,"Pisu, Pierluigi",
AUE,8500,6,Stability/Safety Sys,85%,15%,0%,0%,0%,0%,0%,0%,"Ayalew, Beshah",
AUE,8550,16,Auto Struct Analysis,45%,55%,0%,0%,0%,0%,0%,0%,"Schmueser, David Wil",
AUE,8690,8,Qual Assur Automotiv Manuf Sys,58%,38%,4%,0%,0%,0%,0%,0%,"Mears, Michael L",
AUE,8770,9,Light-Weight Design,38%,63%,0%,0%,0%,0%,0%,0%,"Abu-Farha, Fadi Kama",
AUE,8820,10,Systems Integration Method,91%,9%,0%,0%,0%,0%,0%,0%,"Venhovens, Paul",
AUE,8860,11,Noise Vibration,75%,13%,0%,0%,13%,0%,0%,0%,"Haque, Imtiaz Ul",
AUE,8930,15,Innov & Entrepreneurship,56%,42%,0%,0%,0%,0%,0%,2%,"Bodde, David Leo",
AUE,8930,16,Fundamentals of Injection Mold,78%,22%,0%,0%,0%,0%,0%,0%,"Pilla, Srikanth",
AVS,2010,1,Poultry Techniques,93%,4%,0%,4%,0%,0%,0%,0%,"Birrenkott, Glenn P",
AVS,2050,1,Horsemanship Techniques,58%,42%,0%,0%,0%,0%,0%,0%,"Baxley, Anna Rebecca",
AVS,2060,1,Swine Techniques,83%,11%,2%,0%,2%,0%,0%,2%,"Miller, Richelle Lor",
AVS,2090,1,Livestock Exhibition Technique,93%,6%,0%,0%,0%,0%,0%,1%,"Miller, Richelle Lor",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
