Course,Number,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,2510,3,Arch Foundations I,8%,67%,17%,0%,0%,0%,0%,8%,"Hogan, Robert John",
ARCH,2510,4,Arch Foundations I,64%,27%,9%,0%,0%,0%,0%,0%,"Skinner, Martha L.",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 5 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,2510,5,Arch Foundations I,17%,75%,8%,0%,0%,0%,0%,0%,"Mendez, Clarissa A",
ARCH,2700,1,Structures I,45%,40%,15%,0%,0%,0%,0%,0%,"Albright, Dustin Gra",
ARCH,3510,1,Studio Clemson,56%,38%,0%,0%,0%,0%,0%,6%,"Jacques, Annemarie H",
ARCH,3510,2,Studio Clemson,47%,53%,0%,0%,0%,0%,0%,0%,"Garland, James B.",
ARCH,3510,3,Studio Clemson,60%,30%,10%,0%,0%,0%,0%,0%,"Craig, Lynn G",
ARCH,3510,5,Studio Clemson,80%,20%,0%,0%,0%,0%,0%,0%,"Wilkerson, Julie Poe",
ARCH,3530,1,Studio Genoa,45%,55%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W",
ARCH,4010,1,Arch Portfolio,18%,45%,23%,0%,5%,0%,0%,9%,"Schafer, George J",
ARCH,4140,1,Design Seminar,73%,27%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W",
ARCH,4160,1,Field Studies,73%,18%,0%,9%,0%,0%,0%,0%,"Ault, Nicholas W",
ARCH,4240,1,Product Design,18%,64%,0%,0%,9%,0%,0%,9%,"Silance, Robert T",
ARCH,4520,1,Synthesis Studio,12%,76%,12%,0%,0%,0%,0%,0%,"Hecker, Douglas A.",
ARCH,6050,2,American Arch Styles: for MSHP,67%,27%,7%,0%,0%,0%,0%,0%,"Hudgins, Carter Lee",
ARCH,6240,1,Product Design,64%,36%,0%,0%,0%,0%,0%,0%,"Silance, Robert T",
ARCH,6850,1,H/Th: Arch+Health,67%,33%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G.",
ARCH,8210,1,Research Methods,82%,18%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G.",
ARCH,8410,1,Arch Studio I,55%,27%,9%,0%,0%,0%,0%,9%,"Laurence, Peter L",
ARCH,8410,2,Arch Studio I,60%,40%,0%,0%,0%,0%,0%,0%,"Satoh, Junichi",
ARCH,8510,1,Design Studio III,40%,60%,0%,0%,0%,0%,0%,0%,"Harding, Daniel Nevi",
ARCH,8510,2,Design Studio III,44%,56%,0%,0%,0%,0%,0%,0%,"Albright, Dustin Gra",
ARCH,8510,3,Design Studio III,40%,60%,0%,0%,0%,0%,0%,0%,"Ersoy, Ufuk",
ARCH,8510,4,Design Studio III,44%,44%,11%,0%,0%,0%,0%,0%,"Kleiss, Michael Carl",
ARCH,8570,4,Design Studio V,40%,60%,0%,0%,0%,0%,0%,0%,"Huff, Raymond T",
ARCH,8570,6,Design Studio V,67%,33%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W",
ARCH,8600,1,History/Theory I,62%,33%,5%,0%,0%,0%,0%,0%,"Laurence, Peter L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 6 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,8690,1,Topics in H/Th,78%,11%,11%,0%,0%,0%,0%,0%,"Kahera, Akel I",
ARCH,8720,1,Production & Assemb,80%,16%,5%,0%,0%,0%,0%,0%,"Harding, Daniel Nevi",
ARCH,8810,1,Pro Practice Survey,31%,67%,2%,0%,0%,0%,0%,0%,"Schwennsen, Katherin",
ARCH,8860,1,Health Facilities,79%,21%,0%,0%,0%,0%,0%,0%,"Allison, David J",
ARCH,8970,1,A+H Studio: Hospital,56%,44%,0%,0%,0%,0%,0%,0%,"Allison, David J",
ART,1030,1,Visual Arts Studio,27%,47%,13%,0%,7%,0%,0%,7%,"House, Lynette",
ART,1050,1,Foundation Drawing I,70%,26%,4%,0%,0%,0%,0%,0%,"Drew, Carly D",
ART,1510,1,Foundations Art I,35%,55%,5%,0%,0%,0%,0%,5%,"Shelnutt, Gregory Wi",
ART,2070,1,Beginning Painting,67%,33%,0%,0%,0%,0%,0%,0%,"Prince, Alyssa Reise",
ART,2090,1,Beginning Sculpture,36%,45%,0%,9%,9%,0%,0%,0%,"Burchinal, Tanna L",
ART,2110,1,Begin Printmaking,79%,14%,0%,7%,0%,0%,0%,0%,"Lichliter, Adrienne",
ART,2130,1,Begin Photography,43%,29%,14%,7%,7%,0%,0%,0%,"Ross, Aubree Leanne",
ART,2170,1,Beginning Ceramics,57%,21%,14%,0%,0%,0%,0%,7%,"Zimany, Valerie A.",
ART,2210,1,Beginning New Media,86%,14%,0%,0%,0%,0%,0%,0%,"Hung, Christina Nguy",
AS,1090,2,Air Force Today I,64%,29%,7%,0%,0%,0%,0%,0%,"Wiggins, Stacey Dean",
AS,1090,4,Air Force Today I,30%,50%,10%,0%,0%,0%,0%,10%,"Riemens-Van Laare, J",
AS,2090,2,Dev of Air Power I,91%,9%,0%,0%,0%,0%,0%,0%,"Riemens-Van Laare, J",
AS,2090,3,Dev of Air Power I,89%,11%,0%,0%,0%,0%,0%,0%,"Riemens-Van Laare, J",
AS,3090,2,A F Leadership Mgt I,73%,27%,0%,0%,0%,0%,0%,0%,"Riemens-Van Laare, J",
ASL,1010,1,Am Sign Lang I,53%,26%,16%,0%,5%,0%,0%,0%,"Brant, William Alton",
ASL,1010,2,Am Sign Lang I,63%,16%,21%,0%,0%,0%,0%,0%,"Brant, William Alton",
ASL,1020,2,Am Sign Lang I,86%,7%,0%,0%,0%,0%,0%,7%,"Misener Dunn, Kim Ma",
ASL,2010,1,Am Sign Lang II,37%,47%,16%,0%,0%,0%,0%,0%,"Brant, William Alton",
ASL,2010,2,Am Sign Lang II,33%,22%,44%,0%,0%,0%,0%,0%,"Brant, William Alton",
ASL,2020,2,Am Sign Lang II,81%,6%,0%,0%,0%,0%,0%,13%,"Misener Dunn, Kim Ma",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 7 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ASL,3010,1,Advanced A S L I,82%,18%,0%,0%,0%,0%,0%,0%,"May, Joseph Paul",
ASL,3150,1,Survey Interpreting,58%,33%,8%,0%,0%,0%,0%,0%,"Fitzmaurice, Stephen",
ASTR,1010,1,SolarSystem Astr,46%,38%,13%,0%,1%,0%,0%,2%,"Flower, Phillip J",
ASTR,1010,2,Solar System Astr,34%,51%,12%,0%,0%,0%,0%,4%,"Flower, Phillip J",
ASTR,1010,3,Solar System Astr,52%,40%,4%,0%,3%,0%,0%,1%,"Flower, Phillip J",
ASTR,1010,4,Solar System Astr,42%,42%,9%,0%,2%,0%,0%,5%,"Flower, Phillip J",
ASTR,1030,1,Solar Systm Astr Lab,48%,44%,7%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,2,Solar Systm Astr Lab,22%,57%,22%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,3,Solar Systm Astr Lab,38%,46%,12%,0%,0%,0%,0%,4%,"Leising, Mark D",
ASTR,1030,4,Solar Systm Astr Lab,85%,4%,12%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,5,Solar Systm Astr Lab,38%,42%,17%,0%,4%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,6,Solar Systm Astr Lab,75%,21%,4%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,7,Solar Systm Astr Lab,40%,52%,8%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,8,Solar Systm Astr Lab,68%,32%,0%,0%,0%,0%,0%,0%,"Leising, Mark D",
ASTR,1030,9,Solar Systm Astr Lab,13%,38%,42%,4%,0%,0%,0%,4%,"Leising, Mark D",
ASTR,8100,1,Astroph I: Radiation,20%,40%,40%,0%,0%,0%,0%,0%,"Meyer, Bradley S",
AUD,1850,1,Intro to Audio Tech,36%,64%,0%,0%,0%,0%,0%,0%,"Altstatt, Hamilton S",
AUD,2800,1,Sound Reinforcement,8%,54%,23%,8%,8%,0%,0%,0%,"Moore, Kenneth W",
AUD,3800,1,Audio Engineering I,73%,27%,0%,0%,0%,0%,0%,0%,"Altstatt, Hamilton S",
AUE,8270,5,Auto Cntrl Sys Des,47%,42%,11%,0%,0%,0%,0%,0%,"Ayalew, Beshah",
AUE,8330,4,Auto Manuf Proc Devl,52%,43%,3%,0%,0%,0%,0%,2%,"Abu-Farha, Fadi Kama",
AUE,8350,100,Auto Electronics,66%,33%,1%,0%,0%,0%,0%,0%,"Hubing, Todd H",
AUE,8550,7,Auto Struct Analysis,53%,47%,0%,0%,0%,0%,0%,0%,"Mears, Michael L",
AUE,8800,2,Vehicle Project Mngt,74%,26%,0%,0%,0%,0%,0%,0%,"Haque, Imtiaz Ul",
AUE,8810,3,Auto Sys Overview,6%,67%,26%,0%,0%,0%,0%,1%,"Venhovens, Paul",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 8 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AUE,8830,9,Applied Integration,72%,28%,0%,0%,0%,0%,0%,0%,"Venhovens, Paul",
AUE,8870,6,Meth Vehicle Testing,48%,39%,13%,0%,0%,0%,0%,0%,"Haque, Imtiaz Ul",
AUE,8930,17,Hybrid,72%,22%,0%,0%,0%,0%,0%,6%,"Pisu, Pierluigi",
AUE,8930,18,Adv IC Engine Concept,64%,36%,0%,0%,0%,0%,0%,0%,"Filipi, Zoran",
AUE,8930,19,Autovation II,73%,27%,0%,0%,0%,0%,0%,0%,"Bodde, David Leo",
AUE,8930,20,Applied Dynamics,62%,38%,0%,0%,0%,0%,0%,0%,"Haque, Imtiaz Ul",
AVS,1000,1,Orientation to Avs,84%,10%,2%,0%,0%,0%,0%,3%,"Birrenkott, Glenn P",
AVS,1500,1,Intro Animal Science,19%,52%,22%,5%,0%,0%,0%,3%,"Bolt, Brian G",
AVS,1500,2,Intro Animal Science,8%,57%,28%,5%,0%,0%,0%,2%,"Dunn, Heather Walker",
AVS,1510,1,Intro Ani Sci Lab,50%,42%,4%,0%,0%,0%,0%,4%,"Baxley, Anna Rebecca",
AVS,1510,2,Intro Ani Sci Lab,48%,32%,12%,0%,0%,0%,0%,8%,"Miller, Richelle Lor",
AVS,1510,3,Intro Ani Sci Lab,72%,20%,8%,0%,0%,0%,0%,0%,"Waggoner, Emily Ruth",
AVS,1510,4,Intro Ani Sci Lab,46%,50%,4%,0%,0%,0%,0%,0%,"Waggoner, Emily Ruth",
